0,6300,toyota,cruiser,2008,clean vehicle,274117.0,black,  jtezu11f88k007763,159348797,new jersey, USA,10 days left
19,38100,ford,door,2013,clean vehicle,54380.0,gray,  1ft8w3dt5deb68569,167753923,virginia, USA,22 hours left
20,12520,gmc,door,2017,clean vehicle,30114.0,white,  1gks2gkcxhr328380,167692498,california, USA,20 hours left
21,7300,kia,forte,2018,clean vehicle,38823.0,black,  3kpfl4a79je272611,167801773,north carolina, USA,2 days left
22,15000,chevrolet,door,2015,clean vehicle,61578.0,black,  2gnflhe33f6214023,167763280,ohio, USA,2 days left
23,6180,ford,mpv,2017,clean vehicle,46010.0,blue,  2fmpk3j84hbc09276,167656125,texas, USA,2 days left
24,20800,ford,door,2013,clean vehicle,105510.0,silver,  1ftfw1efxdfa01008,167753937,virginia, USA,22 hours left
25,11900,gmc,door,2017,clean vehicle,28040.0,silver,  1gks2gkc2hr327918,167692503,california, USA,20 hours left
26,21500,kia,sorento,2020,clean vehicle,11451.0,blue,  5xypg4a59lg616029,167801828,north carolina, USA,2 days left
27,12000,buick,door,2014,clean vehicle,31039.0,brown,  1g4ps5sk1e4188639,167763299,ohio, USA,2 days left
28,4190,ford,doors,2017,clean vehicle,44174.0,white,  1fadp5auxhl109013,167656126,texas, USA,2 days left
29,13000,ford,chassis,2008,clean vehicle,93698.0,white,  1fdwf37r28eb95687,167754098,tennessee, USA,22 hours left
30,12710,gmc,door,2017,clean vehicle,26364.0,silver,  1gks2gkc6hr326335,167692504,california, USA,20 hours left
31,18500,infiniti,q70,2016,clean vehicle,71967.0,gray,  jn1by1ar7gm271292,167801920,new york, USA,19 hours left
32,29800,chevrolet,camaro,1973,clean vehicle,46226.0,red,  1q87t3n166389,167763370,pennsylvania, USA,22 hours left
33,5330,ford,mpv,2017,clean vehicle,37792.0,no_color,  2fmpk3j9xhbb56401,167656127,texas, USA,2 days left
34,13000,ford,convertible,2003,clean vehicle,58817.0,gray,  1fahp60a63y107799,167754173,virginia, USA,22 hours left
35,11900,gmc,door,2017,clean vehicle,27965.0,black,  1gks2gkc2hr328793,167692507,california, USA,20 hours left
36,16600,mercedes-benz,vans,2016,clean vehicle,110907.0,white,  8btpe7dd4ge127040,167802259,new york, USA,19 hours left
37,19200,chevrolet,1500,2018,clean vehicle,2430.0,white,  1gcncneh5jz302471,167763391,tennessee, USA,22 hours left
38,7320,ford,mpv,2017,clean vehicle,32366.0,gold,  2fmpk4k96hbb16692,167656128,texas, USA,2 days left
39,7000,ford,pk,2003,clean vehicle,176567.0,white,  1ftnx20p73ed69682,167754187,tennessee, USA,22 hours left
40,12710,gmc,door,2017,clean vehicle,30049.0,white,  1gks2gkc6hr325461,167692508,california, USA,20 hours left
41,16600,mercedes-benz,vans,2016,clean vehicle,97983.0,white,  wd4pe7dd1gp253504,167802269,new york, USA,19 hours left
42,30500,chevrolet,1500,2018,clean vehicle,30442.0,red,  3gcukrec4jg204915,167763393,tennessee, USA,22 hours left
43,6330,ford,mpv,2017,clean vehicle,38123.0,red,  2fmpk3j85hbb79415,167656129,texas, USA,2 days left
44,55000,ford,srw,2017,clean vehicle,15273.0,black,  1ft7w3bt5hee88155,167754310,pennsylvania, USA,3 days left
45,12520,gmc,door,2017,clean vehicle,28972.0,black,  1gks2gkcxhr324555,167692509,california, USA,20 hours left
46,16200,jeep,compass,2019,clean vehicle,30061.0,red,  3c4njccb3kt676336,167802530,north carolina, USA,2 days left
47,19000,chevrolet,malibu,2017,clean vehicle,18414.0,white,  1g1zh5sx9hf118136,167763675,tennessee, USA,22 hours left
48,5580,dodge,mpv,2017,clean vehicle,46829.0,gray,  3c4pddeg7ht595704,167656130,texas, USA,2 days left
49,54000,ford,srw,2017,clean vehicle,26241.0,black,  1ft7w3bt0hef02785,167754311,pennsylvania, USA,3 days left
50,12710,gmc,mpv,2017,clean vehicle,39886.0,red,  1gks2bkc7hr133811,167692513,california, USA,20 hours left
51,16000,jeep,compass,2019,clean vehicle,31594.0,silver,  3c4njccb0kt676343,167802531,north carolina, USA,2 days left
52,27000,buick,enclave,2017,clean vehicle,32107.0,no_color,  5gakrckdxhj113512,167763677,tennessee, USA,22 hours left
53,7760,ford,mpv,2017,clean vehicle,44794.0,gray,  2fmpk4j87hbb21750,167656131,texas, USA,2 days left
